코드,구분,브랜드,인스타그램,이메일,원본구분(B열)
"IC-325","스킨케어","서울화장품","","sarah.k@seoulcos.co.kr",""
"IC-326","스킨케어","주식회사 다산씨엔텍","","sales@dasancntech.com",""
"IC-327","스킨케어","(주)지앤아이코스메틱","","gnicos@gnicos.co.kr",""
"IC-328","스킨케어","AMORY LONDON LTD","","info@amorylondon.com",""
"IC-329","스킨케어","HUAXIN BIOTECHNOLOGY CO., LIMITED","","olwen_z@foxmail.com",""
"IC-330","스킨케어","Nuon LLC","","info@nuonmedical.com",""
"IC-331","스킨케어","주식회사 이든팜","","eden@edencos.co.kr",""
"IC-332","스킨케어","BonitoLab","","bonitolab@bonitolab.com",""
"IC-333","스킨케어","해피엘앤비","","happy@happylnb.com",""
"IC-334","스킨케어","(주) 정동산업","","duzon@jungdong.biz",""
"IC-335","스킨케어","(주) 에이바이오머티리얼즈","","master@a-bio.co.kr",""
"IC-336","스킨케어","씨앤텍(주)","","sbeom1@cntechcorp.co.kr",""
"IC-337","스킨케어","㈜세레코","","celleco@celleco.co.kr",""
"IC-338","스킨케어","(주)미진화장품","","mijin_kor@mjcare.co.kr",""
"IC-339","스킨케어","주식회사 제이에스사이언스","","",""
"IC-340","스킨케어","퓨어앤텍(주)","","sales@purentechkorea.com",""
"IC-341","스킨케어","에이치앤엘바이오","","connect@drschiller.kr",""
"IC-342","스킨케어","지와이바이오","","INFO@GYBIO.CO.KR",""
"IC-343","스킨케어","(주) 씨케이앤비","","sales@cknb.co.kr",""
"IC-344","스킨케어","주식회사 더마솔루션","","hello@derma-solution.co.kr",""
"IC-345","스킨케어","exomera","","miocid@widemore.co.kr",""
"IC-346","스킨케어","비티랩","","btylab8082@naver.com",""
"IC-347","스킨케어","(주) 엘림텍","","sales@elimtek.co.kr",""
"IC-348","스킨케어","로가","","",""
"IC-349","스킨케어","㈜나산기업","","nasan@nscolor.com",""
"IC-350","스킨케어","주식회사 모티프커뮤니케이션","","",""
"IC-351","스킨케어","Trendyproducts Co.,Ltd.","","info@trendyproducts.co.kr",""
"IC-352","스킨케어","(주)아이테크","","nurieye@daum.net",""
"IC-353","스킨케어","아이스링커 주식회사","","icelinker@icelinker.com",""
"IC-354","스킨케어","네이처파마","","rejucell@naver.com",""
"IC-355","스킨케어","㈜제이디바이오","","info@jdbio.com",""
"IC-356","스킨케어","(주)에이스피부임상연구소","","aceskin@acescri.com",""
"IC-357","스킨케어","주식회사 나노실리칸첨단소재","","info@nanobrick.co.kr",""
